id,name,functional,reaction_count
YDR023W,,True,1
YJR130C,,True,1
YHR011W,,True,1
YJL068C,,True,1
YBR213W,,True,2
YER091C,,True,2
YML082W,,True,1
YOR171C,,True,2
YGR264C,,True,1
YLR260W,,True,2
YPL092W,,True,1
YGR171C,,True,1
YLR092W,,True,1
YBR294W,,True,1
YGR125W,,True,1
YGR055W,,True,1
YPR069C,,True,1
YLR146C,,True,1
YHL036W,,True,1
YMR208W,,True,4
YPR156C,,True,1
YJR073C,,True,2
YGR138C,,True,1
YGR175C,,True,2
YDR315C,,True,1
YHR190W,,True,1
YBR006W,,True,1
YDR173C,,True,4
YJL045W,,True,3
YHR046C,,True,1
YKL148C,,True,3
YKL141W,,True,3
YJL153C,,True,1
YLL041C,,True,3
YDR072C,,True,6
YLR164W,,True,3
YPL057C,,True,6
YDR178W,,True,3
YMR118C,,True,3
YBR161W,,True,6
YJR095W,,True,1
YLL061W,,True,1
YIL162W,,True,1
YJR137C,,True,1
YBR176W,,True,1
YFR030W,,True,1
YLR017W,,True,1
YMR313C,,True,1
YDR058C,,True,1
YKR080W,,True,1
YLR354C,,True,1
YGR043C,,True,1
YGL125W,,True,1
YLL057C,,True,1
YLL048C,,True,1
YPL023C,,True,1
YOR241W,,True,1
YGR260W,,True,1
YMR113W,,True,1
YGL067W,,True,1
YKL132C,,True,1
YDR453C,,True,1
YDL085W,,True,1
YCR083W,,True,2
YBL064C,,True,1
YMR145C,,True,1
YML120C,,True,1
YIL010W,,True,1
YPL188W,,True,2
YLR109W,,True,1
YJR049C,,True,2
YBR092C,,True,2
YEL041W,,True,2
YGR096W,,True,1
YHR074W,,True,2
YLR237W,,True,1
YOR071C,,True,1
YOR209C,,True,2
YOR192C,,True,1
YLR138W,,True,1
YEL042W,,True,1
YEL046C,,True,2
YKL218C,,True,1
YER086W,,True,1
YKL067W,,True,9
YBR180W,,True,1
YIL078W,,True,1
YDR402C,,True,1
YKL194C,,True,1
YGR121C,,True,1
YNL142W,,True,1
YBR117C,,True,2
YPR138C,,True,1
YPR074C,,True,2
YDR384C,,True,1
YGR010W,,True,1
YLR328W,,True,3
YGL037C,,True,2
YFR047C,,True,2
YLR285W,,True,1
YOR155C,,True,1
YGL224C,,True,2
YJL126W,,True,3
YIL164C,,True,3
YLR351C,,True,3
YKL120W,,True,1
YJL088W,,True,1
YOR377W,,True,5
YGR177C,,True,5
YOR184W,,True,2
YEL021W,,True,1
YKL184W,,True,1
